,Country,Total_mT_2010,Total_mT_2019,PerHead_kg_2010,PerHead_kg_2019
0,Sri Lanka,1591179,155466,0.299,7.290658413
1,Vanuatu,22478,0,0.245,0.0
2,Guyana,42002,27565,0.224,35.20434227
3,Maldives,31469,60,0.22,0.11299435
4,Trinidad and Tobago,94066,73139,0.19,52.42939068
5,Tonga,6624,666,0.176,6.403846154
6,Comoros,58032,59158,0.169,69.51586369
7,Fiji,49257,3858,0.151,4.334831461
8,Marshall Islands,3187,16,0.15,0.271186441
9,Seychelles,4619,33,0.139,0.336734694
10,South Africa,630005,708467,0.134,12.09855186
11,Mauritius,56051,299,0.122,0.235433071
12,Egypt,967012,1435510,0.122,14.29961748
13,Syria,157904,502,0.119,0.029408319
14,Saint Lucia,6709,4276,0.113,23.36612022
15,Malaysia,936818,814454,0.112,25.491518
16,Thailand,1027739,1361690,0.108,19.55720564
17,Tuvalu,457,0,0.108,0.0
18,Guatemala,91563,311003,0.105,17.68972186
19,Nauru,554,0,0.099,0.0
20,Namibia,5480,20892,0.097,8.373547094
21,China,8819717,12272200,0.092,8.559308412
22,Pakistan,480493,1346460,0.09,6.21734837
23,Vietnam,1833819,1112790,0.09,11.53604528
24,Papua New Guinea,89835,119538,0.09,13.62101185
25,Solomon Islands,20394,3520,0.09,5.253731343
26,Kiribati,3045,74,0.088,0.627118644
27,Tunisia,234309,289538,0.088,24.7574177
28,Senegal,254770,65660,0.086,4.029209622
29,Cote d'Ivoire,194558,17544,0.086,11.33934751
30,Tokelau,43,0,0.086,0.0
31,Norfolk Island,68,0,0.086,0.0
32,Jordan,1737,124425,0.086,12.31686795
33,Algeria,520555,764578,0.086,17.75899473
34,Micronesia,4794,447,0.085,0.0
35,Nigeria,851493,1948950,0.085,9.698005613
36,Sao Tome and Principe,5081,2069,0.085,9.623255814
37,Samoa,5122,1738,0.084,8.822335025
38,Palau,716,116,0.084,6.444444444
39,Sudan,22928,781625,0.083,18.25672109
40,Honduras,95638,145995,0.079,14.97999179
41,Yemen,169181,291737,0.077,10.00401207
42,Djibouti,17324,10289,0.076,10.56365503
43,Iran,247403,495965,0.074,5.981679813
44,Liberia,56728,39930,0.072,8.087907636
45,Iraq,15563,491771,0.067,12.51007377
46,Myanmar,458269,434432,0.066,8.038338422
47,Nicaragua,84415,110862,0.066,16.93583868
