,Entity,Code,Year,waste to ocean
0,Asia,,2019,80.99356991
1,Philippines,PHL,2019,36.38451062
2,India,IND,2019,12.91663349
3,Africa,,2019,7.98931654
4,Malaysia,MYS,2019,7.463107147
5,China,CHN,2019,7.218992545
6,Indonesia,IDN,2019,5.751446208
7,South America,,2019,5.513253248
8,North America,,2019,4.499120942
9,Brazil,BRA,2019,3.859175176
10,Vietnam,VNM,2019,2.881287406
11,Bangladesh,BGD,2019,2.515677038
12,Thailand,THA,2019,2.328430622
13,Nigeria,NGA,2019,1.903093343
14,Turkey,TUR,2019,1.462951959
15,Cameroon,CMR,2019,1.0894801
16,Sri Lanka,LKA,2019,0.985647164
17,Guatemala,GTM,2019,0.729178791
18,Haiti,HTI,2019,0.70743207
19,Dominican Republic,DOM,2019,0.640762544
20,Venezuela,VEN,2019,0.611358527
21,Europe,,2019,0.595431351
22,Tanzania,TZA,2019,0.590632779
23,Algeria,DZA,2019,0.589509708
24,Panama,PAN,2019,0.534683468
25,Cote d'Ivoire,CIV,2019,0.488433399
26,South Africa,ZAF,2019,0.435547007
27,Ghana,GHA,2019,0.427277127
28,Argentina,ARG,2019,0.422376457
29,Oceania,,2019,0.370715232
30,Sierra Leone,SLE,2019,0.370000551
31,Trinidad and Tobago,TTO,2019,0.363160033
32,Mexico,MEX,2019,0.358565656
33,Papua New Guinea,PNG,2019,0.312315587
34,Liberia,LBR,2019,0.269332631
35,Myanmar,MMR,2019,0.259735486
36,Mozambique,MOZ,2019,0.259735486
37,Egypt,EGY,2019,0.252282385
38,Honduras,HND,2019,0.24870898
39,United States,USA,2019,0.248198493
40,Guinea,GIN,2019,0.239622322
41,Jamaica,JAM,2019,0.238295057
42,EU-27,,2019,0.220223838
43,Japan,JPN,2019,0.187348513
44,Morocco,MAR,2019,0.183775108
45,Suriname,SUR,2019,0.171217143
46,Benin,BEN,2019,0.167337446
47,Albania,ALB,2019,0.159782247
48,Nicaragua,NIC,2019,0.149572519
49,Guyana,GUY,2019,0.127213214
50,Ecuador,ECU,2019,0.115982513
51,Cambodia,KHM,2019,0.113634275
