,Country,Total_mT_2010,Total_mT_2019,PerHead_kg_2010,PerHead_kg_2019,rise_total,rise_PerHead
0,India,599819,12994100,0.009,9.509608,12394281,9.500608
1,China,8819717,12272200,0.092,8.559308412,3452483,8.467308412
2,Brazil,471404,3296700,0.017,15.62046908,2825296,15.60346908
3,Philippines,1883659,4025300,0.062,37.23096275,2141641,37.168962750000006
4,Tanzania,48586,1716400,0.02,29.59055254,1667814,29.57055254
5,Democratic Republic of Congo,15208,1369730,0.039,15.78193592,1354522,15.74293592
6,Turkey,485937,1656110,0.039,19.85029366,1170173,19.811293659999997
7,Nigeria,851493,1948950,0.085,9.698005613,1097457,9.613005612999999
8,Pakistan,480493,1346460,0.09,6.21734837,865967,6.12734837
9,Sudan,22928,781625,0.083,18.25672109,758697,18.17372109
10,Venezuela,102333,671431,0.017,23.54576378,569098,23.528763780000002
11,Cameroon,27713,578798,0.038,22.36814036,551085,22.33014036
12,Zimbabwe,0,524865,0.0,35.83919426,524865,35.83919426
13,Iraq,15563,491771,0.067,12.51007377,476208,12.44307377
14,Egypt,967012,1435510,0.122,14.29961748,468498,14.17761748
15,Ghana,91571,520002,0.032,17.09520679,428431,17.06320679
16,Mozambique,45995,434432,0.013,14.30652704,388437,14.29352704
17,Thailand,1027739,1361690,0.108,19.55720564,333951,19.44920564
18,Mexico,101343,430614,0.012,3.375352731,329271,3.363352731
19,Burkina Faso,0,317298,0.0,15.61429064,317298,15.61429064
20,Argentina,157777,465808,0.026,10.40191152,308031,10.37591152
21,Russia,80759,363389,0.02,2.491149775,282630,2.4711497749999998
22,Kenya,22658,289917,0.023,5.514455815,267259,5.491455815
23,Ukraine,128765,393777,0.052,8.950697822,265012,8.898697822
24,Costa Rica,42090,291614,0.047,1.139263074,249524,1.0922630740000001
25,Iran,247403,495965,0.074,5.981679813,248562,5.907679813000001
26,Algeria,520555,764578,0.086,17.75899473,244023,17.672994730000003
27,Bangladesh,787327,1021990,0.03,6.268108387,234663,6.238108387
28,Guatemala,91563,311003,0.105,17.68972186,219440,17.58472186
29,Cambodia,29686,247495,0.058,15.01152423,217809,14.95352423
30,Angola,62528,236946,0.045,7.445278869,174418,7.400278869
31,Libya,52779,188535,0.036,27.81983178,135756,27.78383178
32,Guinea,18514,147997,0.025,11.58852087,129483,11.56352087
33,Jordan,1737,124425,0.086,12.31686795,122688,12.23086795
34,Yemen,169181,291737,0.077,10.00401207,122556,9.92701207
35,Haiti,147389,237968,0.044,21.12829619,90579,21.08429619
36,Benin,43015,133335,0.036,11.29861876,90320,11.26261876
37,Togo,35401,121783,0.049,15.06842366,86382,15.019423660000001
38,South Africa,630005,708467,0.134,12.09855186,78462,11.96455186
39,Dominican Republic,118226,194018,0.039,18.06667287,75792,18.02767287
40,Uruguay,21562,92620,0.024,26.75332178,71058,26.72932178
41,Eritrea,16259,84088,0.035,24.0457535,67829,24.0107535
42,Tunisia,234309,289538,0.088,24.7574177,55229,24.6694177
43,Sierra Leone,36408,91239,0.035,11.67784462,54831,11.64284462
44,Kazakhstan,0,54242,0.0,2.92393941,54242,2.92393941
45,Honduras,95638,145995,0.079,14.97999179,50357,14.900991789999999
46,Romania,3610,52161,0.011,2.693570875,48551,2.6825708749999997
47,Congo,16766,65291,0.054,12.13361829,48525,12.079618289999999
48,Bosnia and Herzegovina,12955,55551,0.061,16.82853681,42596,16.76753681
49,Albania,29705,69833,0.032,24.23915307,40128,24.20715307
50,Jamaica,10019,49673,0.01,16.84972863,39654,16.83972863
51,Lesotho,0,30391,0.0,14.30164706,30391,14.30164706
52,Papua New Guinea,89835,119538,0.09,13.62101185,29703,13.53101185
53,Nicaragua,84415,110862,0.066,16.93583868,26447,16.86983868
54,Germany,31239,50676,0.01,0.606774669,19437,0.596774669
55,Suriname,3942,22933,0.027,39.47160069,18991,39.44460069
56,Timor,0,17244,0.0,13.33642691,17244,13.33642691
57,Canada,7959,23587,0.002,0.630483013,15628,0.628483013
58,Gambia,19616,35095,0.041,14.9467632,15479,14.905763199999999
59,Namibia,5480,20892,0.097,8.373547094,15412,8.276547094
60,Macau,698,14749,0.007,0.0,14051,-0.007
61,Chile,21754,30767,0.011,1.623417054,9013,1.612417054
62,Mauritania,13854,20796,0.038,4.594785683,6942,4.556785682999999
63,Italy,32761,38803,0.003,0.640842279,6042,0.637842279
64,Cook Islands,416,5751,0.054,0.0,5335,-0.054
65,Western Sahara,0,4114,0.0,7.068728522,4114,7.068728522
66,France,24109,27780,0.004,0.426531552,3671,0.422531552
67,Equatorial Guinea,5977,9403,0.047,6.934365782,3426,6.887365782000001
68,Belize,3892,6021,0.053,15.43846154,2129,15.38546154
69,United Arab Emirates,3016,5135,0.004,0.525534746,2119,0.521534746
70,Sweden,2150,4255,0.001,0.423973695,2105,0.422973695
71,Panama,34388,36339,0.029,8.558407913,1951,8.529407913
72,Slovakia,0,1719,0.0,0.315008246,1719,0.315008246
73,Comoros,58032,59158,0.169,69.51586369,1126,69.34686369
74,Bahamas,1333,2212,0.011,5.686375321,879,5.675375321
75,Qatar,758,1532,0.003,0.540960452,774,0.537960452
76,Brunei,93,692,0.001,1.598152425,599,1.5971524250000002
77,Dominica,783,1082,0.031,15.02777778,299,14.996777779999999
78,Slovenia,556,844,0.005,0.405964406,288,0.400964406
79,Guinea-Bissau,20240,20465,0.046,10.65330557,225,10.607305570000001
80,Saint Martin,0,8,0.0,0.0,8,0.0
81,Cocos Islands,1,0,0.005,0.0,-1,-0.005
